Episode,Date,Host,Guest,Project / Company
Episode 365,"December 1, 2015","Randal Schwartz, Aaron Newcomb",Peter Hoddie,[Kinoma](https://en.wikipedia.org/wiki/Kinoma)
Episode 366,"December 8, 2015","Randal Schwartz, Guillermo Amaral",Matthieu Aubry,[Piwik](https://en.wikipedia.org/wiki/Piwik)
Episode 367,"December 15, 2015","Randal Schwartz, Simon Phipps","Manuel Vacelet, Matteo Mazzeri",[Tuleap](https://en.wikipedia.org/wiki/Tuleap)
Episode 368,"December 22, 2015","Randal Schwartz, Aaron Newcomb","Steve Ressler, Gene Ressler",Bridge Design Contest
Episode 369,"January 5, 2016","Aaron Newcomb, Simon Phipps","Chris Kleeschulte, Braydon Fuller",Bitcore 2.0
Episode 370,"January 12, 2016","Aaron Newcomb, Guillermo Amaral","Thomas Bonte, Nicolas Froment",[MuseScore](https://en.wikipedia.org/wiki/MuseScore)
Episode 371,"January 19, 2016","Randal Schwartz, Guillermo Amaral",Daniel James,[Booktype](https://en.wikipedia.org/wiki/Booktype)
Episode 372,"January 26, 2016","Randal Schwartz, Simon Phipps",Marc Boorshtein,OpenUnison
Episode 373,"February 2, 2016","Aaron Newcomb, Guillermo Amaral",Anthony Shaw,Apache Libcloud
Episode 374,"February 9, 2016","Randal Schwartz, Aaron Newcomb",Henrik Rosendahl,Openstack Astara
Episode 375,"February 16, 2016","Randal Schwartz, Simon Phipps",Simon Michael,hlegder
Episode 376,"February 23, 2016","Randal Schwartz, Guillermo Amaral","Harry van Haaren, Gianfranco Ceccolini",OpenAV & MOD
Episode 377,"March 1, 2016","Randal Schwartz, Aaron Newcomb",Alvaro Hernandez,ToroDB
Episode 378,"March 8, 2016","Randal Schwartz, Simon Phipps","Jan Lehnardt, Garren Smith",[CouchDB](https://en.wikipedia.org/wiki/CouchDB)
Episode 379,"March 15, 2016","Randal Schwartz, Aaron Newcomb","Jan Lehnardt, Jenn Turner",Hoodie
Episode 380,"March 22, 2016","Randal Schwartz, Gareth Greenaway","David Willson, Heather Willson",Linux Camp 2016
Episode 381,"March 30, 2016","Randal Schwartz, Simon Phipps",Brett Gaylor,Mozilla Encryption Campaign
Episode 382,"April 5, 2016",Randal Schwartz,"Rachel Roumeliotis, Scott Hanselman",OSCON Preview
Episode 383,"April 12, 2016","Randal Schwartz, Aaron Newcomb",Will Braswell,The Future of Perl Performance
Episode 384,"April 19, 2016","Randal Schwartz, Aaron Newcomb",Will Braswell,RPerl
Episode 385,"April 26, 2016","Randal Schwartz, Guillermo Amaral","maymay, Rebecca Crane",Buoy
Episode 386,"May 3, 2016","Randal Schwartz, Simon Phipps",David Gatti,Simpe.li
Episode 387,"May 10, 2016","Randal Schwartz, Aaron Newcomb",Mikeal Rogers,[Node.js](Node.https://en.wikipedia.org/wiki/js)
Episode 388,"May 17, 2016",Randal Schwartz,"Zohar Babin, Jess Portnoy",Kaltura
Episode 389,"May 24, 2016","Randal Schwartz, Guillermo Amaral","David Wheeler, Emily Ratliff",Best Practices Badge
Episode 390,"May 31, 2016","Randal Schwartz, Guillermo Amaral",Per Buer,[Varnish Cache](Varnish_(software)https://en.wikipedia.org/wiki/)
Episode 391,"June 7, 2016","Randal Schwartz, Gareth Greenaway",Bill Appleton,[DreamFactory](https://en.wikipedia.org/wiki/DreamFactory_Software)
Episode 392,"June 14, 2016","Randal Schwartz, Aaron Newcomb",Patrick McFadin,[Apache Cassandra](https://en.wikipedia.org/wiki/Apache_Cassandra)
Episode 393,"June 21, 2016","Randal Schwartz, Jonathan Bennett",Jesus M Gonzalez-Barahona,Bitergia
Episode 394,"June 28, 2016","Randal Schwartz, Jonathan Bennett",Max Kordek,Lisk
Episode 395,"July 5, 2016","Randal Schwartz, Guillermo Amaral",Rob Eisenberg,Aurelia
Episode 396,"July 12, 2016","Randal Schwartz, Douglas Whitfield","Brendon Gallagher, Nicole Engard",[Koha ILS](Koha_(software)https://en.wikipedia.org/wiki/)
Episode 397,"July 19, 2016","Randal Schwarz, Jonathan Bennett",Brandon Philips,[CoreOS](https://en.wikipedia.org/wiki/CoreOS) Update
Episode 398,"August 9, 2016","Aaron Newcomb, Guillermo Amaral",Mohit Bhatnagar,ClusterHQ
Episode 399,"August 16, 2016","Aaron Newcomb, Guillermo Amaral, Jonathan Bennett",Open Hardware Projects
Episode 400,"August 23, 2016","Aaron Newcomb, Simon Phipps",Frank Karlitschek,NextCloud
Episode 401,"August 30, 2016","Aaron Newcomb, Jonathan Bennett",Will Hayes,Lucidworks
Episode 402,"September 6, 2016","Aaron Newcomb, Jonathan Bennett",Midokura
Episode 403,"September 13, 2016","Aaron Newcomb, Randal Schwartz","Josh Berkus, Colin Walters",Atomic Host
Episode 404,"September 20, 2016","Randal Schwartz, Guillermo Amaral",Jared Smith,Capital One / Cloud Custodian
Episode 405,"September 27, 2016","Randal Schwartz, Jonathan Bennett",Eric Schultz,Prpl
Episode 406,"October 5, 2016","Randal Schwartz, Guillermo Amaral",Ole André Vadla Ravnås,Frida
Episode 407,"October 11, 2016","Randal Schwartz, Aaron Newcomb",Christoph Zimmermann,Linux Presentation Day
Episode 408,"October 18, 2016","Randal Schwartz, Jonathan Bennett","Jason McIntosh, Deborah Kaplan",Interactive Fiction
Episode 409,"November 1, 2016","Randal Schwartz, Aaron Newcomb","Nicole Engard, Janice Levenhagen-Seeley",ChickTech
Episode 410,"November 8, 2016","Randal Schwartz, Jonathan Bennett","Frederik ""Freso"" S. Olesen",Metabrainz
Episode 411,"November 15, 2016","Randal Schwartz, Aaron Newcomb","Robby Russell, Marc Cornellà",Oh-My-Zsh
Episode 412,"November 22, 2016","Randal Schwartz, Simon Phipps","Lauri Apple, Raffaele di Fazio",Zalando
Episode 413,"November 29, 2016","Randal Schwartz, Jonathan Bennett","Jayant Kolhe, Varun Talwar",gRPC
Episode 414,"December 6, 2016","Randal Schwartz, Guillermo Amaral","Evan Green, Chris Stevens",Minoca
Episode 415,"December 13, 2016","Randal Schwartz, Aaron Newcomb",Lasse Schuirmann,[coala](w:coala_(software)https://en.wikipedia.org/wiki/)
Episode 416,"January 3, 2017","Randal Schwartz, Simon Phipps",[Jim Hall](Jim_Hall_(computer_programmer)https://en.wikipedia.org/wiki/),[FreeDOS](https://en.wikipedia.org/wiki/FreeDOS)
Episode 417,"January 10, 2017","Aaron Newcomb, Guillermo Amaral","Fredrik Hultin, Joey Ferwerda",OpenHMD
Episode 418,"January 17, 2017","Randal Schwartz, Jonathan Bennett","Jeff Gehlbach, Tarus Balog",OpenNMS
Episode 419,"January 31, 2017","Randal Schwartz, Jonathan Bennett",Tyler Jewell,Eclipse Che
Episode 420,"February 7, 2017","Randal Schwartz, Aaron Newcomb",Chris Klimas,Twine
Episode 421,"February 14, 2017","Randal Schwartz, Jonathan Bennett","Michael S Hansen, David Hansen",Gadgetron
Episode 422,"February 21, 2017","Randal Schwartz, Aaron Newcomb",Kathy Giori,Arduino Update
Episode 423,"February 28, 2017","Randal Schwartz, Guillermo Amaral",Abhi Beckert,Sequel Pro
Episode 424,"March 7, 2017","Randal Schwartz, Guillermo Amaral","Kelsey Hightower, Rachel Roumeliotis",Oscon 2017
Episode 425,"March 14, 2017","Randal Schwartz, Jonathan Bennett",John Sullivan,LibrePlanet
Episode 426,"March 21, 2017","Randal Schwartz, Simon Phipps","Trevor Vaughan, Kendall Moore",SIMP
Episode 427,"March 28, 2017","Randal Schwartz, Aaron Newcomb","Dan Nurmi, Tim Gerla",Anchore
Episode 428,"April 4, 2017","Randal Schwartz, Jonathan Bennett","Michael Zentner, Andy Burnett",HUBzero
Episode 429,"April 11, 2017","Randal Schwartz, Guillermo Amaral",David Steele,pgBackRest
Episode 430,"April 19, 2017",Randal Schwartz,"Jonathan Bennett, Patrick Balleux",ScreenStudio
Episode 431,"April 25, 2017",Randal Schwartz,"Jonathan Bennett, Bill Sanders",Stacki
Episode 432,"May 2, 2017","Randal Schwartz, Simon Phipps",Kris Moore,FreeNAS Update
Episode 433,"May 9, 2017",Randal Schwartz,Peter Degen-Portnoy,OpenHub
Episode 434,"May 16, 2017","Randal Schwartz, Jonathan Bennett","Aparna Sinha, Michael Rubin",Kubernetes Update
Episode 435,"May 23, 2017","Randal Schwartz, Guillermo Amaral",Isaac Z. Schlueter,NPM
Episode 436,"May 30, 2017","Randal Schwartz, Jonathan Bennett","Brenton Salmi, Bryce Salmi",FaradayRF
Episode 437,"June 6, 2017","Randal Schwartz, Guillermo Amaral","Matthew Jaffee, Travis Turner",Pilosa
Episode 438,"June 13, 2017","Randal Schwartz, Jonathan Bennett",Sherrie Rohde,Magento
Episode 439,"June 20, 2017","Randal Schwartz, Jonathan Bennett",Adam Barth,Flutter
Episode 440,"June 28, 2017","Randal Schwartz, Aaron Newcomb",Stef Walter,Cockpit
Episode 441,"July 12, 2017","Randal Schwartz, Aaron Newcomb",Tague Griffith,Redis
Episode 442,"July 19, 2017","Randal Schwartz, Simon Phipps",Brian Behlendorf,Hyperledger
Episode 443,"July 26, 2017","Randal Schwartz, Jonathan Bennett",Kohsuke Kawaguchi,Jenkins
Episode 444,"August 2, 2017","Randal Schwartz, Jonathan Bennett","Phil Dougherty, Norman Joyner",Containership
Episode 445,"August 9, 2017","Randal Schwartz, Gareth Greenaway",Todd Lewis,Allthingsopen.org
Episode 446,"August 16, 2017","Randal Schwartz, Jonathan Bennett","Thorsten Behrens, Italo Vignoli",LibreOffice
Episode 447,"August 24, 2017","Randal Schwartz, Dan Lynch","Darren Schrieber, Karl Anderson",Kazoo Update
Episode 448,"September 1, 2017","Aaron Newcomb, Simon Phipps",Hugo Leisink,Hiawatha Webserver
Episode 449,"September 6, 2017","Randal Schwartz, Jonathan Bennett",Eric Hanson,Aquameta
Episode 450,"September 14, 2017","Randal Schwartz, Gareth Greenaway","Dan Wood, Hogne Titlestad",Friend
Episode 451,"September 20, 2017","Randal Schwartz, Dan Lynch","Bob Quillin, Vish (Ishaya) Abrams",Oracle Open Source
Episode 452,"September 27, 2017","Randal Schwartz, Jonathan Bennett","[Dan Kohn](https://en.wikipedia.org/wiki/Dan_Kohn), Jacob Smith",CNCF Community Infrastructure Lab
Episode 453,"October 5, 2017","Aaron Newcomb, Jonathan Bennett",Edward Thomson,libgit2
Episode 454,"October 11, 2017","Dan Lynch, Jonathan Bennett",Michael Larabel,OpenBenchmarking.org
Episode 455,"October 18, 2017","Randal Schwartz, Dan Lynch","Frank Martinez, Matt Ellis",Flogo
Episode 456,"October 25, 2017","Randal Schwartz, Jonathan Bennett",David Barrett,Bedrock
Episode 457,"November 1, 2017","Randal Schwartz, Jonathan Bennett",Fred Simon,JFrog Artifactory
Episode 458,"November 8, 2017","Randal Schwartz, Dan Lynch","Patrick Stuedi, Animesh Trivedi",Crail
Episode 459,"November 15, 2017","Randal Schwartz, Jonathan Bennett",Willard Shoko,Offnet
Episode 460,"November 22, 2017","Randal Schwartz, Aaron Newcomb",Sara Chipps,Jewelbots
Episode 461,"November 29, 2017","Randal Schwartz, Dan Lynch",Joshua Bernstein,The {code} Team
Episode 462,"December 6, 2017","Randal Schwartz, Jonathan Bennett",Jono Bacon,Evolution of Community
Episode 463,"December 13, 2017","Randal Schwartz, Simon Phipps",George Miranda,Linkerd
Episode 464,"December 20, 2017","Randal Schwartz, Jonathan Bennett",Sarkis Dallakian,PyRx
Episode 465,"January 3, 2018","Randal Schwartz, Jonathan Bennett",Robert Foss,drm_hwcomposer
Episode 466,"January 10, 2018","Randal Schwartz, Simon Phipps","John Mertic, Leonard Santalucia",Open Mainframe Project
Episode 467,"January 17, 2018","Randal Schwartz, Simon Phipps",Luis Cuende,Aragon
Episode 468,"January 24, 2018","Dan Lynch, Jonathan Bennett",Jason A. Donenfeld,WireGuard
Episode 469,"January 31, 2018","Simon Phipps, Jonathan Bennett",Garrett DAmore,nanomsg
Episode 470,"February 7, 2018","Randal Schwartz, Simon Phipps",Brian Reale,ProcessMaker
Episode 471,"February 14, 2018","Randal Schwartz, Simon Phipps",Philippe Ombredanne,ScanCode
Episode 472,"February 21, 2018","Randal Schwartz, Dan Lynch",Jim Brandt,The Perl Foundation
Episode 473,"February 28, 2018","Aaron Newcomb, Dan Lynch",Sid Sijbrandij,GitLab
Episode 474,"March 7, 2018","Randal Schwartz, Jonathan Bennett",Kevin Owocki,Gitcoin
Episode 475,"March 14, 2018","Randal Schwartz, Aaron Newcomb",Alan Clark,SUSE
Episode 476,"March 21, 2018","Simon Phipps, Jonathan Bennett","Mike MacDougall, Kris Arnold",VIPER Builder
Episode 477,"March 28, 2018","Randal Schwartz, Jonathan Bennett",Benjamin Striegel,Rust
Episode 478,"April 4, 2018","Randal Schwartz, Jonathan Bennett",Steve Springett,OWASP Dependency-Track
Episode 479,"April 11, 2018","Randal Schwartz, Simon Phipps",Gary Kramlich,[Pidgin](Pidgin_(software)https://en.wikipedia.org/wiki/)
Episode 480,"April 18, 2018","Randal Schwartz, Jonathan Bennett","Kevin Dominik Korte, Peter Ganten",Univention Corporate Server
Episode 481,"April 25, 2018","Randal Schwartz, Simon Phipps",Aniket Panjwani,Chomper
Episode 482,"May 2, 2018","Randal Schwartz, Aaron Newcomb","Dustin Ingram, Ernest W. Durbin III",PyPI
Episode 483,"May 10, 2018","Randal Schwartz, Dan Lynch","Adam Monsen, William Hale",SeaGL
Episode 484,"May 16, 2018","Simon Phipps, Jonathan Bennett","Jérémie Astori, Al McKinlay",The Lounge
Episode 485,"May 23, 2018","Randal Schwartz, Gareth Greenaway",Colton Myers,HubbleStack
Episode 486,"May 30, 2018","Randal Schwartz, Aaron Newcomb",Cees-Jan Kiewiet,ReactPHP
Episode 487,"June 6, 2018","Randal Schwartz, Jonathan Bennett",Julia Evans,rbspy
Episode 488,"June 20, 2018","Randal Schwartz, Simon Phipps","Stian Thorgersen, Sébastien Blanc",[Keycloak](https://en.wikipedia.org/wiki/Keycloak)
Episode 489,"June 27, 2018","Randal Schwartz, Jonathan Bennett",[David Siegel](David_Siegel_(entrepreneur)https://en.wikipedia.org/wiki/),Pillar
Episode 490,"July 11, 2018","Aaron Newcomb, Dan Lynch",Hypolite Petovan,Friendica
Episode 491,"July 25, 2018","Randal Schwartz, Aaron Newcomb",Quincy Larson,freeCodeCamp
Episode 492,"August 8, 2018",Randal Schwartz,"Fabian A. Scherschel, Dan Lynch",[The Legacy of Linux Outlaws](https://en.wikipedia.org/wiki/Linux_Outlaws)
Episode 493,"August 15, 2018","Randal Schwartz, Aaron Newcomb",Dan Dennedy,Shotcut
Episode 494,"August 22, 2018","Randal Schwartz, Dan Lynch",Philipp Reisner,LINSTOR
Episode 495,"August 29, 2018","Randal Schwartz, Simon Phipps","Bryan Ollendyke, Nikki Massaro Kauffman",HAX
Episode 496,"September 7, 2018","Randal Schwartz, Jonathan Bennett","Andrew Bauer, Isaac Connor",ZoneMinder
Episode 497,"September 13, 2018","Randal Schwartz, Dan Lynch",[Michael Meeks](Michael_Meeks_(software_developer)https://en.wikipedia.org/wiki/),LibreOffice Online
Episode 498,"September 19, 2018","Randal Schwartz, Aaron Newcomb",Jim Salter,Sanoid
Episode 499,"September 26, 2018","Randal Schwartz, Jonathan Bennett",Joonas Lehtinen,Vaadin
Episode 500,"October 3, 2018","Randal Schwartz, Gareth Greenaway",Vicky Brasseur,Contributing to Open Source
Episode 501,"October 10, 2018","Randal Schwartz, Dan Lynch",Drew DeVault,Sway
Episode 502,"October 17, 2018","Randal Schwartz, Gareth Greenaway",Christoph,OpenRheinRuhr Conference
Episode 503,"October 26, 2018","Randal Schwartz, Jonathan Bennett",Behind the Scenes
Episode 504,"October 31, 2018","Randal Schwartz, Jonathan Bennett",[Luis Villa](https://en.wikipedia.org/wiki/Luis_Villa),Tidelift
Episode 505,"November 7, 2018","Randal Schwartz, Dan Lynch",Michael Tunnell,This Week in Linux
Episode 506,"November 14, 2018","Randal Schwartz, Michael Tunnell",Hillel Coren,Invoice Ninja
Episode 507,"November 21, 2018","Randal Schwartz, Aaron Newcomb",Marco Palladino,Kong
Episode 508,"November 28, 2018","Randal Schwartz, Jonathan Bennett","Sam Habiel, Nancy Anthracite",VistA and RPMS
Episode 509,"December 5, 2018","Randal Schwartz, Jonathan Bennett",Francis Dinha,OpenVPN
Episode 510,"December 12, 2018","Randal Schwartz, Simon Phipps","K.S. Bhaskar, Chris Edwards",YottaDB
Episode 511,"December 19, 2018","Randal Schwartz, Aaron Newcomb",Eric Seidel,Flutter 1.0
Episode 512,"January 2, 2019","Randal Schwartz, Jonathan Bennett","Lars Kiesow, Olaf Schulte",Opencast
Episode 513,"January 9, 2019","Randal Schwartz, Simon Phipps",[Frank Karlitschek](https://en.wikipedia.org/wiki/Frank_Karlitschek),Nextcloud
Episode 514,"January 16, 2019","Randal Schwartz, Michael Tunnell","Riccardo Spagni, Naveen Jain",Tari
Episode 515,"January 30, 2019","Randal Schwartz, Aaron Newcomb",Lars Kurth,Xen Update
Episode 516,"February 6, 2019","Randal Schwartz, Jonathan Bennett",Ben Bromhead,Open Source at Instaclustr
Episode 517,"February 13, 2019","Randal Schwartz, Dan Lynch",Caroline Keep,Liverpool MakeFest
Episode 518,"February 22, 2019","Randal Schwartz, Aaron Newcomb",Carol Smith,ClearlyDefined
Episode 519,"February 27, 2019","Randal Schwartz, Jonathan Bennett",Matthew Spoke,Aion
Episode 520,"March 6, 2019","Randal Schwartz, Aaron Newcomb",Mohamed Ahmed,Magalix
Episode 521,"March 13, 2019","Randal Schwartz, Simon Phipps",Dave McLoughlin,Flexera Open Source Report
Episode 522,"March 20, 2019","Randal Schwartz, Dan Lynch",David A. Wheeler,Railroader
Episode 523,"March 27, 2019","Randal Schwartz, Simon Phipps","Paul Fawkesley, Ian Drysdale",FluidKeys
Episode 524,"April 3, 2019","Randal Schwartz, Jonathan Bennett",Tom Hacohen,EteSync
Episode 525,"April 10, 2019","Randal Schwartz, Michael Tunnell",Joshua Montgomery,Mycroft
Episode 526,"April 17, 2019","Randal Schwartz, Aaron Newcomb",Max Lynch,Ionic
Episode 527,"April 24, 2019","Randal Schwartz, Simon Phipps",Eric Hanson,Aquameta
Episode 528,"May 1, 2019","Randal Schwartz, Jonathan Bennett",Steve Springett,CycloneDX
Episode 529,"May 9, 2019","Randal Schwartz, Dan Lynch",Ev Kontsevoy,Teleport and Gravity
Episode 530,"May 15, 2019","Randal Schwartz, Jonathan Bennett",Oren Eini,[RavenDB](https://en.wikipedia.org/wiki/RavenDB)
Episode 531,"May 22, 2019","Randal Schwartz, Simon Phipps",Maik Aussendorf,Bareos
Episode 532,"June 5, 2019","Randal Schwartz, Michael Tunnell",Aaron MacSween,CryptPad
Episode 533,"June 12, 2019","Randal Schwartz, Dan Lynch",Paulo Arruda,faastRuby
Episode 534,"June 19, 2019","Randal Schwartz, Simon Phipps",Todd Lewis,All Things Open 2019
Episode 535,"June 26, 2019","Randal Schwartz, Jonathan Bennett","Mathias Radtke, Niko Wenselowski",OPSI
Episode 536,"July 3, 2019","Randal Schwartz, Aaron Newcomb","Amaury Hernàndez Águila, Inge Wallin",CX
Episode 537,"July 10, 2019","Dan Lynch, Aaron Newcomb","Graeme Rocher, Jeff Scott Brown",Micronaut
Episode 538,"July 17, 2019","Randal Schwartz, Jonathan Bennett",Leo Laporte,FLOSS history and the TWiT Network
Episode 539,"July 24, 2019","Dan Lynch, Aaron Newcomb",Justin Reock,OpenLogic
Episode 540,"July 31, 2019","Dan Lynch, Jonathan Bennett",Gareth McCumskey,Serverless
Episode 541,"August 7, 2019","Randal Schwartz, Jonathan Bennett",Mike Szczys,Hack-a-day
Episode 542,"August 14, 2019","Dan Lynch, Jonathan Bennett","Jason A Crome, Sawyer X",Dancer
Episode 543,"August 21, 2019","Randal Schwartz, Jonathan Bennett",Gilles Chehade,OpenSMTPD
Episode 544,"August 28, 2019","Randal Schwartz, Dan Lynch",Sawyer X,Perl
Episode 545,"September 4, 2019","Randal Schwartz, Aaron Newcomb","William Woodruff, Nicole Harris",PyPi Security
Episode 546,"September 11, 2019","Randal Schwartz, Dan Lynch",Spencer Kimball,CockroachDB
Episode 547,"September 18, 2019","Randal Schwartz, Dan Lynch, Simon Phipps",OggCamp
Episode 548,"September 25, 2019","Randal Schwartz, Michael Tunnell",Neil McGovern,GNOME
Episode 549,"October 2, 2019","Randal Schwartz, Aaron Newcomb",David Fetter,PostgreSQL
Episode 550,"October 12, 2019","Randal Schwartz, Jonathan Bennett",David Wheeler,CII Best Practices Badge Update
Episode 551,"October 16, 2019","Dan Lynch, Jonathan Bennett",Fred Posner,Kamailio
Episode 552,"October 23, 2019","Randal Schwartz, Jonathan Bennett","Eduardo Arango Gutierrez, Gregory Kurtzer",Singularity
Episode 553,"October 30, 2019","Randal Schwartz, Aaron Newcomb","Ken Fallon, Kevin OBrien",Hacker Public Radio
Episode 554,"November 6, 2019","Randal Schwartz, Jonathan Bennett","Troy McSimov, Josh Mahar",Hotrock
Episode 555,"November 13, 2019","Randal Schwartz, Dan Lynch","Lars Kiesow, Timo Nogueira Brockmeyer",Emissions API
Episode 556,"November 20, 2019","Randal Schwartz, Dan Lynch",Tom Payne,Chezmoi
Episode 557,"November 27, 2019","Randal Schwartz, Jonathan Bennett",Dmitri Tikhonov,LSQuic
Episode 558,"December 4, 2019","Randal Schwartz, Jonathan Bennett",Ludovic Dubost,XWiki
Episode 559,"December 11, 2019","Randal Schwartz, Aaron Newcomb, Jonathan Bennett",Open Source Chat
Episode 560,"December 18, 2019","Randal Schwartz, Dan Lynch",Renaud,Rolisteam
Episode 561,"January 8, 2020","Aaron Newcomb, Jonathan Bennett",Eric Schrock,Titan
Episode 562,"January 15, 2020","Randal Schwartz, Simon Phipps",Marco Palladino,Kong
Episode 563,"January 22, 2020","Randal Schwartz, Aaron Newcomb","Tracy lee, Moshe Milman",The Apprentice Program
Episode 564,"January 29, 2020","Randal Schwartz, Dan Lynch",John Mertic,Open Mainframe Update
Episode 565,"February 5, 2020","Randal Schwartz, Aaron Newcomb",[Bob van Luijt](https://en.wikipedia.org/wiki/Bob_van_Luijt),Weaviate
Episode 566,"February 12, 2020","Randal Schwartz, Jonathan Bennett",Hillel Coren,ItsAllWidgets / Flutter Update
Episode 567,"February 26, 2020","Randal Schwartz, Jonathan Bennett",Boris Paskalev,DeepCode
Episode 568,"March 4, 2020",Jonathan Bennett,Christoph Zimmermann,Linux Bier Wanderung
Episode 569,"March 11, 2020","Randal Schwartz, Jonathan Bennett",Open-Source News
Episode 570,"March 20, 2020","Randal Schwartz, Michael Tunnell",Chen Ravid,xs:code
Episode 571,"March 25, 2020","Randal Schwartz, Jonathan Bennett",Mark Mandel,Agones
Episode 572,"April 1, 2020","Jonathan Bennett, Simon Phipps",Hans-Christoph Steiner,F-Droid
Episode 573,"April 8, 2020","Randal Schwartz, Simon Phipps",Omar Yadan,Hydra
Episode 574,"April 15, 2020","Randal Schwartz, Jonathan Bennett, Dan Lynch",Open-Source News
Episode 575,"April 22, 2020","Jonathan Bennett, Simon Phipps",Olivier Lambert,XCP-ng
Episode 576,"April 29, 2020","Jonathan Bennett, Dan Lynch",Peter Howe,Contractor
Episode 577,"May 6, 2020","Randal Schwartz, Simon Phipps","Manfred Moser, Dain Sundstrom",Presto
Episode 578,"May 13, 2020","Doc Searls, Jonathan Bennett",Costa Tsaousis,Netdata
Episode 579,"May 20, 2020","Doc Searls, Dan Lynch",Jorge Torres,MindsDB
Episode 580,"May 27, 2020","Doc Searls, Aaron Newcomb","Loris Degioanni, Kris Nova",Sysdig
Episode 581,"June 4, 2020","Doc Searls, Simon Phipps",Kyle Rankin,[Purism](https://en.wikipedia.org/wiki/Purism)
Episode 582,"June 10, 2020","Doc Searls, Simon Phipps",Joshua R. Simmons,OSI
Episode 583,"June 17, 2020","Doc Searls, Jonathan Bennett",[Don Marti](https://en.wikipedia.org/wiki/Don_Marti),California Consumer Privacy Act Tools
Episode 584,"June 24, 2020","Doc Searls, Simon Phipps",Silona Bonewald,IEEE SA Open
Episode 585,"July 1, 2020","Doc Searls, Aaron Newcomb","Jon ""maddog"" Hall",Linux Professional Institute
Episode 586,"July 8, 2020","Doc Searls, Jonathan Bennett",Kaliya Young,Digital Identity
Episode 587,"July 15, 2020","Doc Searls, Jonathan Bennett",Tim Pozar,Internet Vs. Broadcasting
Episode 588,"July 22, 2020","Doc Searls, Shawn Powers",Devon Loffreto,KidOYO
Episode 589,"July 29, 2020","Doc Searls, Jonathan Bennett",Liam Broza,LifeScope
Episode 590,"August 5, 2020","Doc Searls, Simon Phipps",Wes Turner,Rensselaer Center for Open Software
Episode 591,"August 12, 2020","Doc Searls, Shawn Powers",Brian Dear,PLATO & The Rise of Cyberculture
Episode 592,"August 19, 2020","Doc Searls, Simon Phipps",[Brian Behlendorf](https://en.wikipedia.org/wiki/Brian_Behlendorf),Hyperledger Update
Episode 593,"August 26, 2020","Doc Searls, Jonathan Bennett",Rebecca Whitworth,TrustyAI
Episode 594,"September 2, 2020","Doc Searls, Aaron Newcomb","Sumana Harihareswara, Pradyun Gedam",PIP and the Python Package Index
Episode 595,"September 9, 2020","Doc Searls, Shawn Powers",Christoph Zimmermann,Redis Redux
Episode 596,"September 16, 2020","Doc Searls, Shawn Powers",Richard Esplin,Self-Sovereign Identity
Episode 597,"September 23, 2020","Doc Searls, Dan Lynch","Karen Sandler, Molly De Blanc",Declaration of Digital Autonomy
Episode 598,"September 30, 2020","Doc Searls, Jonathan Bennett",Mark Frischmuth,DemocracyLab
Episode 599,"October 7, 2020","Doc Searls, Simon Phipps",Christine Peterson,Foresight Institute
Episode 600,"October 14, 2020","Doc Searls, Shawn Powers",Milan Kazarka,Chatcola
Episode 601,"October 21, 2020","Doc Searls, Jonathan Bennett",Jason van Gumster,Open Source Creative
Episode 602,"October 28, 2020","Doc Searls, Aaron Newcomb",Boas Betzler,Linux on IBM
Episode 603,"November 4, 2020","Doc Searls, Jonathan Bennett",Sri Ambati,Democratizing AI
Episode 604,"November 11, 2020","Doc Searls, Jonathan Bennett",Hadrian Zbarcea,Learning from The Apache Way
Episode 605,"November 18, 2020","Doc Searls, Shawn Powers",Adrian Gropper,Trust in Health Care
Episode 606,"November 25, 2020","Doc Searls, Simon Phipps",Vinay Gupta,The Future of Stuff
Episode 607,"December 2, 2020",Doc Searls,"Stormy Peters, Sarah Novotny",Microsoft and Open Source
Episode 608,"December 9, 2020","Doc Searls, Aaron Newcomb",John Wunderlich,What Makes A Standard?
Episode 609,"December 16, 2020","Doc Searls, Simon Phipps",David Wheeler,Open Source Security
Episode 610,"December 30, 2020","Doc Searls, Shawn Powers",Phil Windley,Internet of People and Things
Episode 611,"January 6, 2021","Doc Searls, Jonathan Bennett",Allison Randal,The FLOSS Ecosystem
Episode 612,"January 13, 2021","Doc Searls, Dan Lynch",Dr. Matthias Uiberacker,Open Sheet Music Display
Episode 613,"January 20, 2021","Doc Searls, Shawn Powers",Tom Hacohen,Etesync and Etebase
Episode 614,"January 27, 2021","Doc Searls, Shawn Powers, Katherine Druckman",Ethics and Open Source
Episode 615,"February 3, 2021","Doc Searls, Aaron Newcomb",Steve Seguin,OBS.Ninja
Episode 616,"February 10, 2021","Doc Searls, Simon Phipps",Roberto Di Cosmo,Software Heritage
Episode 617,"February 17, 2021","Doc Searls, Aaron Newcomb, Jonathan Bennett",Open Source in the Workplace
Episode 618,"February 24, 2021","Doc Searls, Shawn Powers",Steve Klabnik,Rust
Episode 619,"March 3, 2021","Jonathan Bennett, Katherine Druckman",Kevin Lin,Notetaking with Dendron
Episode 620,"March 10, 2021","Doc Searls, Jonathan Bennett",Jeremy Ruston,TiddlyWiki
